TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T294,Forest Lake Transit Center,294,45.2395,-92.9856,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T297,East Creek Station,297,44.8139,-93.6041,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T298,Anoka Station,298,45.2072,-93.3845,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T299,Fridley Station,299,45.0788,-93.271,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T300,Big Lake Station,300,45.3296,-93.731,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T301,Parkway Station,301,45.1323,-93.4758,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T302,Hwy 36 & Rice St,302,45.0069,-93.1049,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T303,Maple Plain,303,45.0047,-93.6466,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T304,I-35E & County Road 14,304,45.1667,-93.0349,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T305,I-35E & County Road E,305,45.0484,-93.061,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T306,Chanhassen Transit Station,306,44.8609,-93.5338,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T309,Hopkins Park-and-Ride,309,44.921,-93.4095,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T312,Carver Station,312,44.7688,-93.6438,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T313,Newport Transit Station,313,44.8819,-93.0059,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T315,Paul Parkway,315,45.1899,-93.2378,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T316,Marschall Road Transit Station,316,44.7765,-93.5066,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T317,Dunkirk Park & Ride,317,45.0244,-93.4904,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T318,Carmike Cinema,318,44.7231,-93.2167,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T534,Becker Municipal Lot,534,45.3926,-93.8761,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T564,Northstar Link Lot,564,45.5541,-94.1254,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T701,Maplewood Mall Transit Center,701,45.029,-93.0247,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T703,Northtown Transit Center,703,45.1269,-93.2649,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T704,Louisiana Ave Transit Center,704,44.9706,-93.3713,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T705,Plymouth Road Park & Ride,705,44.9717,-93.4467,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T706,Southdale Transit Center,706,44.8818,-93.3223,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T707,South Bloomington Transit Center,707,44.8254,-93.2904,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T710,Burnsville Transit Station,710,44.7788,-93.2772,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T711,Eagan Transit Station,711,44.8326,-93.1662,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T712,Apple Valley Transit Station,712,44.7253,-93.2166,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T713,SouthWest Station,713,44.8597,-93.4426,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T714,Station 73,714,44.9871,-93.4188,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T715,Mound Transit Center,715,44.9375,-93.6648,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T716,157th St Station,716,44.72,-93.178,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T718,Cedar Grove Transit Station,718,44.8118,-93.2184,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T719,Lakeville Cedar,719,44.6881,-93.2161,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T721,Rosemount Transit Station,721,44.7389,-93.1237,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T722,Eagle Creek Transit Station,722,44.7669,-93.438,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
